Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.157,0.5631612154210858,45.929,0.4145210050934255,83.928,0.5917443919678711,56.223,0.45695283114331386
Sample,ch1,ch2,ch3,ch4
1,86,43,78,50
2,70,34,86,59
3,81,32,71,53
4,77,37,100,52
5,91,38,107,53
6,89,53,92,61
7,94,45,83,63
8,84,46,88,61
9,94,49,79,45
10,82,45,77,60
11,87,42,104,49
12,79,47,80,52
13,89,39,86,69
14,77,43,76,58
15,87,56,81,67
16,86,51,84,58
17,82,50,85,54
18,79,47,87,53
19,73,56,89,62
20,89,57,97,60
21,101,35,78,56
22,81,40,75,49
23,87,47,82,51
24,97,57,83,51
25,85,46,84,49
26,98,47,85,53
27,106,47,81,50
28,91,37,93,55
29,84,46,97,53
30,86,46,92,50
31,80,52,98,44
32,84,46,84,55
33,79,58,91,67
34,98,54,76,60
35,74,59,88,50
36,88,41,92,46
37,89,49,78,54
38,80,48,88,55
39,87,60,85,76
40,80,44,90,50
41,82,51,82,59
42,85,58,81,52
43,91,46,86,55
44,84,50,81,43
45,89,51,80,49
46,88,49,88,58
47,82,37,89,55
48,90,40,89,48
49,73,43,85,68
50,80,48,92,37
51,84,36,77,57
52,78,43,66,49
53,87,51,91,74
54,88,52,95,53
55,75,35,105,66
56,72,41,95,55
57,69,43,82,57
58,76,54,90,64
59,91,47,88,67
60,83,46,77,69
61,80,36,82,54
62,65,38,90,49
63,87,48,96,70
64,77,38,82,48
65,78,59,93,57
66,87,48,103,59
67,97,46,81,61
68,73,38,75,59
69,75,40,73,55
70,99,55,78,52
71,82,51,82,58
72,77,47,67,55
73,95,51,88,69
74,87,49,81,72
75,94,51,96,54
76,85,49,77,68
77,84,46,96,64
78,83,47,80,62
79,95,49,81,72
80,77,53,74,59
81,95,42,89,63
82,90,40,74,56
83,86,46,94,59
84,84,41,76,58
85,77,47,78,48
86,83,39,95,57
87,71,45,87,52
88,91,52,80,53
89,95,48,79,66
90,79,39,91,59
91,83,39,77,49
92,65,49,85,50
93,85,39,102,41
94,70,50,87,54
95,82,46,90,55
96,76,50,80,57
97,91,42,100,46
98,94,43,85,66
99,78,47,69,56
100,83,40,97,50
101,78,59,78,61
102,86,51,91,58
103,83,43,85,62
