Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
4016.441,4.078620995535773,4050.754,4.157453349630558,85.373,0.590345654673592,56.605,0.4513974519862287,276.164,1.038635248380864
Sample,ch1,ch2,ch3,ch4,coinc12
1,3961,4135,76,56,273
2,4025,4056,86,50,233
3,3952,4010,81,47,237
4,3973,4006,75,51,294
5,3882,3973,78,37,269
6,4090,4127,92,55,264
7,4072,3952,87,65,295
8,3929,4018,80,65,268
9,4031,4015,71,62,263
10,4091,4015,81,62,254
11,3935,4066,79,55,264
12,4025,4038,78,47,321
13,3947,4083,90,52,279
14,3969,3988,84,66,270
15,3956,3967,89,70,264
16,4059,4165,94,54,269
17,4071,4120,86,55,293
18,3968,4126,101,52,278
19,4009,3951,89,62,249
20,3944,4055,85,71,282
21,4000,4129,87,63,312
22,4094,4061,84,58,288
23,4029,4171,82,54,255
24,3967,4054,95,62,284
25,4048,4089,75,66,274
26,3954,4114,82,63,262
27,4098,4082,71,56,283
28,4076,4040,62,43,280
29,4044,4007,81,66,266
30,3958,4066,68,67,294
31,4001,4076,73,47,281
32,3897,4062,87,60,250
33,4068,3992,84,51,266
34,4129,4142,81,64,299
35,3881,4125,90,56,261
36,4037,4029,71,51,284
37,3924,3964,108,43,272
38,4053,4075,83,58,252
39,3967,3942,68,55,275
40,3869,4091,89,59,286
41,3989,4157,74,70,267
42,3921,3983,78,54,242
43,4069,3953,104,65,268
44,4041,4026,84,68,278
45,3972,3978,88,62,285
46,3995,4054,91,53,277
47,3968,4125,86,52,253
48,4027,4028,84,55,303
49,4039,4045,89,58,286
50,3973,3966,70,52,276
51,4053,4006,77,57,289
52,3998,4061,82,49,267
53,4038,3876,98,62,264
54,4058,4122,90,56,269
55,4101,4057,78,51,265
56,4026,4125,78,71,292
57,4011,3895,86,57,259
58,4104,3942,82,65,289
59,4102,4007,78,56,303
60,3964,4012,81,59,251
61,4053,4093,88,57,281
62,3992,3992,94,48,296
63,3990,4112,87,53,263
64,4075,4028,75,53,287
65,3982,4114,76,62,267
66,4062,4051,85,47,274
67,3911,3963,76,57,262
68,4015,4040,95,58,305
69,3963,4110,82,55,281
70,3941,4195,77,75,278
71,4092,3964,72,59,294
72,4046,3973,95,49,277
73,3953,4072,92,52,256
74,3957,3993,95,46,248
75,4153,3978,77,64,304
76,3981,4008,84,54,233
77,4057,3907,82,72,267
78,4119,3986,89,64,258
79,3953,4027,104,66,244
80,3901,3894,82,51,263
81,3986,4053,79,59,315
82,3895,4148,80,58,270
83,4038,4089,106,61,273
84,3912,3960,92,52,281
85,3975,4089,87,75,277
86,3969,4131,71,60,276
87,3971,3959,76,59,261
88,3961,4064,87,53,262
89,4007,4023,93,52,285
90,4085,4156,91,54,304
91,3898,3953,98,48,305
92,3993,4028,78,58,265
93,4045,4016,94,67,283
94,3842,4054,77,60,309
95,3998,4131,97,61,266
96,4114,4114,86,55,261
97,3973,4060,89,59,237
