Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7726.184,5.62571820137494,8440.291,5.867255061607425,84.884,0.5437148166105111,56.552,0.48020389396565677,591.808,1.524538212299305
Sample,ch1,ch2,ch3,ch4,coinc12
1,7636,8283,80,57,569
2,7572,8315,79,57,566
3,7627,8340,77,53,614
4,7727,8387,98,72,597
5,7838,8514,91,47,616
6,7611,8444,83,57,573
7,7694,8423,83,53,656
8,7657,8322,80,55,564
9,7752,8350,81,53,562
10,7823,8483,78,51,627
11,7824,8386,86,52,609
12,7684,8473,90,64,602
13,7800,8422,87,65,565
14,7632,8471,95,53,628
15,7871,8339,85,64,579
16,7624,8333,84,57,590
17,7743,8280,87,64,584
18,7772,8371,77,48,582
19,7742,8292,84,49,594
20,7798,8541,83,57,619
21,7691,8501,78,51,577
22,7706,8419,84,64,613
23,7768,8427,89,62,634
24,7790,8406,87,56,643
25,7746,8256,80,60,620
26,7743,8343,62,54,587
27,7718,8399,91,63,579
28,7655,8423,77,56,547
29,7797,8259,62,63,594
30,7663,8536,106,58,600
31,7994,8451,82,54,592
32,7824,8636,94,46,597
33,7778,8697,78,53,579
34,7671,8597,92,52,573
35,7678,8334,68,51,574
36,7730,8338,85,52,553
37,7623,8475,84,49,574
38,7604,8304,79,66,547
39,7748,8419,82,49,587
40,7664,8308,83,45,611
41,7823,8343,85,49,577
42,7731,8256,71,63,542
43,7807,8405,91,57,585
44,7690,8471,82,57,585
45,7716,8444,91,63,605
46,7639,8407,89,57,620
47,7594,8427,90,59,595
48,7799,8675,92,60,595
49,7756,8471,92,54,616
50,7614,8422,91,54,577
51,7620,8365,74,64,614
52,7765,8339,78,59,565
53,7700,8448,86,62,604
54,7679,8500,98,56,630
55,7769,8439,78,57,609
56,7806,8434,82,46,618
57,7661,8484,78,57,605
58,7699,8526,73,77,575
59,7728,8432,87,49,576
60,7783,8424,87,60,582
61,7777,8355,75,56,611
62,7813,8483,85,52,594
63,7763,8332,87,61,565
64,7851,8565,87,51,593
65,7884,8516,85,57,592
66,7767,8323,83,62,587
67,7832,8428,76,57,598
68,7701,8422,81,58,618
69,7612,8305,83,63,601
70,7647,8560,84,63,588
71,7671,8457,88,52,585
72,7822,8525,90,54,645
73,7793,8443,91,50,608
74,7799,8337,87,51,590
75,7721,8220,83,49,583
76,7718,8341,84,61,588
77,7792,8506,82,61,613
78,7659,8499,83,54,549
79,7606,8423,71,53,643
80,7692,8495,78,35,581
81,7640,8401,82,64,607
82,7739,8372,95,75,581
83,7519,8390,84,44,550
84,7575,8398,77,50,584
85,7749,8499,82,45,632
86,7813,8269,64,54,607
87,7664,8463,83,72,597
88,7733,8376,75,53,595
89,7671,8533,87,58,597
90,7575,8346,85,67,624
91,7821,8457,98,50,588
92,7652,8339,91,45,571
93,7719,8368,74,45,549
94,7706,8456,84,54,572
95,7638,8525,93,57,617
96,7744,8578,74,52,583
97,7638,8559,87,57,618
98,7692,8297,93,37,608
99,7704,8444,91,43,569
100,7643,8411,80,73,602
101,7686,8413,94,60,582
102,7726,8342,87,63,575
103,7689,8394,79,59,604
104,7865,8439,75,55,560
105,7834,8363,82,66,619
106,7794,8560,99,58,560
107,7700,8594,86,52,571
108,7683,8311,80,61,574
109,7787,8464,87,58,622
110,7787,8424,92,46,572
111,7797,8435,82,60,565
112,7766,8462,93,62,583
113,7813,8482,79,72,587
114,7643,8454,91,47,561
115,7616,8396,82,48,597
116,7633,8496,65,56,575
117,7632,8492,80,46,589
118,7773,8449,83,62,590
119,7765,8415,85,55,611
120,7789,8250,99,63,586
121,7818,8369,84,50,569
122,7537,8463,95,56,611
123,7763,8505,79,58,639
124,7788,8489,107,55,600
125,7633,8422,69,45,559
126,7597,8510,88,52,564
127,7665,8373,90,61,625
128,7739,8478,89,53,582
129,7693,8483,80,55,541
130,7693,8324,92,62,603
131,7706,8418,61,48,608
132,7772,8363,92,55,608
133,7737,8550,81,50,580
134,7686,8432,90,51,600
135,7628,8382,90,57,553
136,7771,8523,86,46,636
137,7664,8409,94,47,612
138,7639,8604,90,50,568
139,7723,8358,93,65,555
140,7735,8370,99,68,583
141,7679,8402,85,61,582
142,7679,8644,89,71,627
143,7698,8522,78,51,613
144,7604,8567,96,57,611
145,7777,8502,92,70,584
146,7757,8466,77,52,610
147,7857,8471,80,64,556
148,7710,8460,84,67,615
149,7632,8450,82,51,623
150,7720,8591,87,48,599
151,7809,8600,84,61,667
152,7869,8471,96,56,574
153,7810,8496,83,74,613
154,7687,8499,92,68,580
155,7649,8556,94,54,581
156,7837,8596,82,54,565
157,7829,8530,96,46,615
158,7700,8410,83,55,568
159,7707,8329,97,56,557
160,7659,8346,84,57,553
161,7800,8447,100,53,588
162,7891,8514,76,54,579
163,7684,8592,83,52,608
164,7616,8490,65,62,616
165,7760,8396,86,51,596
166,7677,8605,81,49,594
167,7821,8495,74,53,645
168,7913,8470,79,69,625
169,7812,8435,97,58,587
170,7597,8551,79,55,647
171,7637,8303,107,67,546
172,7834,8543,72,59,627
173,7635,8481,85,56,607
174,7825,8555,76,55,608
175,7814,8575,77,66,595
176,7774,8599,66,57,625
177,7819,8555,83,50,636
178,7914,8425,78,49,613
179,7791,8452,80,59,578
180,7658,8524,85,58,609
181,7795,8380,77,50,621
182,7715,8406,68,59,601
183,7900,8524,65,58,566
184,7711,8582,74,73,615
185,7652,8457,89,62,590
186,7893,8547,89,56,628
187,7723,8299,88,66,578
188,7947,8444,78,47,573
189,7853,8495,94,51,598
190,7767,8418,89,65,607
191,7816,8543,84,60,618
192,7932,8536,88,63,618
193,7636,8214,74,53,613
194,7682,8391,80,63,605
195,7608,8664,78,61,613
196,7595,8511,84,57,610
197,7706,8435,77,62,551
198,7733,8578,79,45,566
199,7757,8289,96,53,574
200,7787,8571,94,45,634
201,7737,8340,90,42,611
202,7832,8590,92,56,647
203,7746,8667,93,42,627
204,7822,8426,90,68,596
205,7630,8388,102,65,573
206,7757,8341,83,57,569
207,7852,8421,88,59,605
208,7797,8474,80,50,582
209,7721,8520,88,41,573
210,7540,8299,80,54,557
211,7751,8417,84,45,611
212,7691,8343,73,49,554
213,7811,8421,92,71,588
214,7905,8525,76,47,589
215,7601,8401,102,55,617
216,7905,8437,81,60,567
217,7821,8579,97,72,591
218,7773,8569,81,53,616
219,7763,8538,90,47,610
220,7779,8394,86,58,549
221,7772,8501,91,61,632
222,7816,8606,91,54,576
223,7679,8418,82,59,564
224,7913,8464,85,69,638
225,7675,8480,87,58,583
226,7768,8391,75,40,579
227,7693,8362,96,53,611
228,7699,8437,70,53,570
229,7895,8465,73,49,584
230,7694,8516,76,51,589
231,7675,8439,84,67,597
232,7678,8393,68,65,572
233,7707,8405,90,64,552
234,7885,8395,93,48,596
235,7666,8286,86,62,587
236,7706,8160,83,61,568
237,7698,8427,77,41,603
238,7635,8307,69,58,580
239,7738,8441,86,73,578
240,7861,8370,88,57,591
241,7743,8398,87,61,589
242,7681,8404,92,55,603
243,7840,8397,94,58,607
244,7751,8388,90,60,582
245,7802,8448,69,66,573
246,7802,8425,97,43,581
247,7704,8392,84,47,586
248,7645,8271,94,61,571
249,7631,8552,81,53,557
250,8067,8559,81,43,639
251,7690,8301,89,55,547
252,7804,8452,81,51,562
253,7855,8515,72,59,572
254,7701,8378,81,64,573
255,7633,8448,78,60,614
256,7668,8374,80,50,571
257,7775,8363,82,64,586
258,7709,8406,83,61,568
259,7610,8525,79,59,608
260,7736,8339,80,47,599
261,7652,8530,79,63,597
262,7705,8420,74,49,624
263,7795,8461,99,61,584
264,7713,8462,100,44,562
265,7629,8386,66,53,591
266,7725,8394,87,63,569
267,7699,8478,63,46,613
268,7726,8557,84,57,601
269,7787,8342,95,50,606
270,7672,8419,86,69,591
271,7668,8316,97,41,596
272,7748,8554,86,62,595
273,7624,8285,97,38,612
274,7796,8396,85,59,587
275,7610,8445,71,63,588
276,7599,8470,112,50,625
277,7780,8623,81,64,624
278,7596,8454,103,57,601
279,7846,8541,86,53,571
280,7812,8510,87,53,622
281,7816,8394,90,60,579
282,7762,8530,86,71,591
283,7688,8383,79,47,591
284,7758,8451,90,64,632
285,7587,8498,84,51,571
286,7530,8390,77,57,630
287,7804,8486,84,57,593
288,7709,8470,83,61,570
289,7739,8221,85,52,566
290,7653,8374,62,69,589
291,7660,8408,84,72,587
292,7784,8414,72,53,591
293,7640,8498,84,72,593
294,7739,8623,79,51,584
295,7806,8416,78,64,552
296,7632,8467,81,65,567
297,7773,8585,93,62,612
298,7827,8345,86,44,583
299,7678,8508,95,62,589
300,7889,8365,83,45,600
301,7666,8523,81,46,611
302,7717,8528,88,54,580
303,7570,8417,92,48,578
304,7804,8373,91,55,607
305,7943,8446,84,55,579
306,7704,8518,94,61,593
307,7586,8515,81,71,600
308,7737,8406,86,50,609
309,7886,8522,78,55,634
310,7797,8340,76,61,580
311,7866,8565,99,51,643
312,7739,8597,99,57,641
313,7779,8536,77,56,616
314,7743,8508,95,46,582
315,7678,8244,82,52,613
316,7815,8454,92,52,594
317,7654,8428,77,71,632
318,7799,8493,85,50,622
319,7637,8277,73,52,583
320,7864,8365,101,49,616
321,7701,8299,81,61,599
322,7768,8406,78,57,567
323,7698,8342,82,56,572
324,7666,8316,86,56,616
325,7692,8311,93,64,557
326,7734,8351,77,52,601
327,7625,8542,69,57,565
328,7723,8320,93,50,568
329,7847,8429,90,51,634
330,7708,8477,90,51,561
331,7788,8541,77,54,633
332,7809,8379,90,63,590
333,7716,8322,91,43,576
334,7577,8315,87,63,553
335,7686,8358,82,67,594
336,7740,8537,79,73,569
337,7542,8453,83,55,588
338,7701,8402,82,57,628
339,7820,8429,81,63,608
340,7723,8324,73,56,597
341,7789,8458,82,50,588
342,7841,8600,85,52,622
343,7842,8523,77,68,599
344,7762,8403,85,54,548
345,7651,8377,98,56,625
346,7766,8445,83,53,592
347,7628,8475,88,62,577
348,7761,8465,94,49,597
349,7838,8481,88,55,565
350,7770,8468,92,56,615
351,7916,8528,86,54,636
352,7784,8515,94,46,613
353,7779,8521,88,52,597
354,7780,8484,84,68,606
355,7727,8399,87,48,579
356,7644,8490,95,58,610
357,7626,8332,82,71,637
358,7637,8514,112,48,602
359,7649,8376,80,47,582
360,7701,8453,66,53,594
361,7641,8290,84,69,553
362,7721,8355,80,61,626
363,7803,8408,71,63,577
364,7663,8470,89,78,570
365,7693,8274,85,61,566
366,7734,8441,100,62,561
367,7724,8561,81,60,570
368,7838,8413,87,68,580
369,7894,8390,79,50,580
370,7715,8410,93,48,591
371,7771,8488,63,53,618
372,7649,8583,91,56,606
373,7736,8446,89,62,565
374,7671,8440,83,61,633
375,7649,8348,93,56,590
376,7701,8522,94,54,604
377,7740,8512,93,47,564
378,7806,8455,102,47,614
379,7759,8364,79,51,580
380,7676,8537,91,79,573
381,7692,8624,79,54,596
382,7682,8454,89,62,576
383,7828,8475,91,53,644
384,7826,8519,87,51,583
385,7582,8304,89,55,635
386,7671,8455,87,53,597
387,7749,8444,92,53,564
388,7687,8495,89,64,624
389,7660,8318,109,53,581
390,7631,8455,81,57,630
391,7605,8398,76,54,565
392,7684,8328,84,65,578
393,7739,8469,96,53,596
394,7689,8553,88,53,585
395,7719,8375,86,43,637
396,7864,8336,71,45,615
397,7705,8582,84,53,582
398,7686,8584,73,50,579
399,7684,8339,91,53,545
400,7593,8381,69,54,553
401,7705,8422,89,52,587
402,7864,8534,75,62,643
403,7617,8298,99,55,555
404,7742,8507,92,57,629
405,7824,8547,85,52,614
406,7730,8550,88,43,611
407,7753,8434,95,55,589
408,7770,8512,81,48,628
409,7565,8525,85,48,618
410,7599,8392,85,47,572
411,7681,8483,83,53,582
412,7711,8448,85,54,588
413,7630,8444,86,66,566
414,7789,8420,82,72,610
415,7610,8435,93,55,608
416,7546,8574,79,61,568
417,7739,8494,97,56,585
418,7818,8499,96,54,603
419,7589,8569,90,60,627
420,7550,8427,78,63,577
421,7682,8534,98,65,590
422,7649,8440,71,49,607
423,7691,8354,83,59,628
424,7889,8409,79,59,590
425,7848,8429,106,52,625
426,7536,8255,93,49,563
427,7819,8341,83,60,596
428,7699,8596,66,57,643
429,7760,8374,94,49,593
430,7743,8454,74,72,565
431,7768,8395,86,55,561
432,7744,8436,83,52,582
433,7786,8382,93,52,588
434,7650,8436,88,67,578
435,7779,8549,100,58,612
436,7777,8424,91,52,581
437,7621,8383,81,55,572
438,7795,8448,93,54,593
439,7808,8408,73,57,642
440,7712,8395,75,67,578
441,7641,8484,84,52,592
442,7686,8519,95,51,577
443,7716,8348,91,52,595
444,7670,8464,100,71,573
445,7721,8382,87,59,586
446,7606,8493,76,43,571
447,7643,8620,90,41,585
448,7988,8460,81,66,606
