Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4
83.972,0.5757780686899983,46.287,0.4067332737261065,8659.702,6.198823614057606,57.203,0.46924978354748265
Sample,ch1,ch2,ch3,ch4
1,76,41,8783,65
2,75,43,8706,56
3,88,43,8684,64
4,79,47,8637,56
5,85,43,8864,51
6,95,47,8564,68
7,88,45,8660,55
8,81,46,8759,47
9,91,49,8578,56
10,82,51,8587,59
11,77,46,8754,40
12,70,53,8604,57
13,73,53,8746,58
14,79,51,8770,59
15,79,46,8600,72
16,70,42,8785,48
17,84,50,8699,64
18,92,54,8642,56
19,82,50,8699,60
20,91,51,8825,56
21,90,46,8718,51
22,76,48,8808,63
23,80,37,8647,56
24,71,43,8710,60
25,95,42,8939,67
26,87,44,8790,66
27,90,47,8572,64
28,70,48,8601,59
29,77,49,8788,68
30,79,59,8539,63
31,91,44,8595,58
32,78,49,8903,52
33,84,51,8763,68
34,88,44,8800,65
35,86,46,8697,66
36,72,39,8550,48
37,82,38,8712,60
38,69,56,8709,68
39,80,58,8524,59
40,90,48,8561,66
41,106,37,8522,63
42,96,59,8761,43
43,79,42,8636,50
44,74,57,8678,58
45,81,41,8697,55
46,84,34,8663,49
47,75,49,8789,59
48,83,43,8773,69
49,80,43,8563,57
50,88,41,8946,61
51,82,40,8727,49
52,76,37,8757,72
53,81,39,8715,57
54,85,46,8685,65
55,89,45,8646,44
56,88,36,8617,50
57,83,43,8494,54
58,88,55,8541,53
59,70,40,8781,62
60,97,60,8704,57
61,81,34,8677,57
62,82,46,8790,55
63,82,50,8670,56
64,78,54,8777,58
65,86,48,8683,40
66,75,56,8704,56
67,79,39,8653,68
68,71,39,8582,53
69,90,39,8755,58
70,75,53,8638,48
71,101,57,8673,74
72,82,53,8662,66
73,99,58,8741,47
74,100,37,8755,56
75,93,34,8557,61
76,71,49,8634,45
77,83,39,8683,54
78,81,49,8633,55
79,79,47,8780,44
80,94,54,8693,51
81,67,55,8889,65
82,79,45,8621,64
83,74,57,8650,44
84,94,44,8525,61
85,99,46,8560,54
86,88,47,8582,70
87,80,43,8771,71
88,75,42,8867,66
89,98,42,8580,64
90,93,51,8687,62
91,89,47,8856,53
92,74,50,8658,45
93,111,37,8705,58
94,76,61,8862,46
95,89,42,8710,52
96,83,38,8547,48
97,77,44,8800,55
98,86,48,8628,56
99,89,45,8772,59
100,86,41,8692,60
101,79,51,8691,62
102,86,47,8735,63
103,69,57,8682,66
104,83,48,8683,50
105,93,53,8658,54
106,93,49,8777,36
107,93,56,8850,41
108,73,42,8852,60
109,93,48,8776,50
110,78,44,8673,60
111,89,49,8584,66
112,73,43,8745,45
113,99,48,8729,64
114,76,44,8643,45
115,89,53,8753,50
116,85,41,8689,61
117,91,46,8604,63
118,87,42,8503,62
119,93,64,8697,63
120,79,43,8493,52
121,80,46,8544,53
122,85,50,8608,66
123,71,45,8696,72
124,89,50,8604,48
125,80,50,8598,59
126,74,41,8699,54
127,117,38,8733,67
128,78,53,8572,50
129,95,46,8599,57
130,72,48,8606,50
131,90,48,8523,48
132,82,44,8638,57
133,81,45,8744,45
134,99,35,8637,47
135,100,42,8694,43
136,76,42,8812,58
137,87,46,8685,54
138,93,37,8770,63
139,90,45,8700,50
140,94,47,8498,51
141,79,45,8636,49
142,95,44,8680,55
143,91,52,8665,64
144,93,44,8610,52
145,71,36,8688,61
146,81,38,8758,61
147,73,43,8674,50
148,80,39,8644,55
149,102,47,8694,44
150,77,42,8737,63
151,93,52,8753,59
152,84,56,8707,59
153,75,47,8620,65
154,75,43,8675,52
155,92,48,8530,59
156,91,49,8790,64
157,80,39,8729,39
158,99,60,8586,67
159,93,46,8770,62
160,84,37,8572,58
161,92,49,8708,54
162,82,50,8633,59
163,79,43,9016,45
164,97,51,8785,56
165,86,45,8705,62
166,84,44,8617,46
167,90,57,8535,51
168,81,49,8683,59
169,89,47,8623,69
170,93,42,8607,54
171,77,44,8755,55
172,87,57,8769,64
173,82,56,8735,57
174,90,52,8734,60
175,102,43,8642,67
176,72,42,8741,64
