Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7563.461,5.697360602404751,8727.234,6.138554131293689,85.586,0.554275777603205,57.216,0.4752844109281002,633.753,1.6579181694693668
Sample,ch1,ch2,ch3,ch4,coinc12
1,7640,8898,81,56,644
2,7460,8732,80,51,621
3,7582,8755,85,48,638
4,7662,8700,85,49,616
5,7656,8632,66,62,677
6,7725,8720,108,57,641
7,7431,8480,97,61,612
8,7521,8904,104,75,623
9,7510,8608,83,60,575
10,7555,8816,71,61,648
11,7554,8750,85,63,618
12,7601,8619,80,57,643
13,7528,8677,82,63,636
14,7618,8731,80,47,653
15,7568,8848,79,48,653
16,7571,8820,96,54,640
17,7700,8901,90,61,661
18,7533,8721,74,60,598
19,7411,8799,76,55,608
20,7608,8642,101,45,661
21,7796,8806,85,54,651
22,7576,8732,66,62,610
23,7762,8585,87,65,645
24,7496,8823,90,63,631
25,7579,8753,74,72,664
26,7657,8882,76,50,617
27,7488,8597,86,62,648
28,7612,8865,86,59,652
29,7580,8676,85,71,667
30,7452,8694,93,55,606
31,7628,8660,88,52,607
32,7595,8846,79,60,689
33,7474,8744,74,51,614
34,7582,8800,88,59,628
35,7380,8769,89,61,607
36,7551,8781,80,49,660
37,7774,8728,71,70,670
38,7566,8884,79,58,638
39,7679,8782,92,74,587
40,7651,8618,88,72,649
41,7632,8878,71,64,669
42,7397,8669,85,65,626
43,7559,8780,95,57,641
44,7484,8622,93,52,627
45,7485,8783,77,76,630
46,7516,8748,93,52,646
47,7556,8747,84,56,613
48,7618,8708,79,58,608
49,7493,8666,105,62,617
50,7526,8730,87,47,584
51,7411,8645,96,49,625
52,7649,8581,82,63,610
53,7442,8826,96,49,597
54,7452,8881,80,60,639
55,7514,8877,88,55,619
56,7617,8866,103,60,684
57,7489,8792,81,55,607
58,7623,8662,65,60,620
59,7426,8792,94,68,642
60,7601,8720,83,49,648
61,7562,8801,79,72,660
62,7444,8757,74,70,599
63,7711,8703,97,66,640
64,7475,8774,81,64,662
65,7647,8835,103,51,645
66,7519,8970,83,82,621
67,7658,8627,88,61,626
68,7503,8707,83,52,618
69,7539,8708,87,50,636
70,7687,8751,80,58,597
71,7342,8778,97,62,651
72,7543,8964,87,53,666
73,7689,8953,80,56,638
74,7525,8780,73,76,642
75,7490,8753,86,49,621
76,7633,8762,88,58,692
77,7560,8625,92,56,594
78,7556,8748,84,68,654
79,7600,8744,89,60,614
80,7542,8701,78,60,626
81,7604,8908,86,65,643
82,7640,8768,92,43,651
83,7544,8724,83,56,604
84,7476,8765,86,59,665
85,7611,8848,95,57,624
86,7481,8790,90,49,620
87,7487,8800,71,60,589
88,7576,8824,77,43,655
89,7429,8705,87,47,623
90,7535,8828,77,51,634
91,7512,8797,78,57,622
92,7543,8735,90,68,621
93,7477,8675,85,49,639
94,7564,8807,92,55,662
95,7566,8821,83,55,641
96,7563,8703,95,67,619
97,7460,8668,84,58,655
98,7524,8651,102,63,667
99,7463,8943,93,67,614
100,7625,8891,91,60,669
101,7620,8784,77,51,624
102,7395,8676,94,63,651
103,7520,8626,96,59,628
104,7653,8790,94,59,611
105,7630,8712,88,62,596
106,7364,8708,69,61,629
107,7607,8723,85,59,591
108,7487,8821,70,65,642
109,7480,8627,86,40,651
110,7487,8607,86,50,630
111,7571,8711,65,47,651
112,7503,8855,78,61,657
113,7344,8624,103,56,602
114,7420,8692,89,54,673
115,7625,8805,84,55,654
116,7437,8657,82,51,618
117,7624,8696,87,59,615
118,7456,8804,101,67,579
119,7514,8763,78,57,629
120,7526,8681,87,57,587
121,7413,8626,104,63,591
