Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
7568.012,5.510779265413569,136.64,0.6999682532483565,86.048,0.5871281831963984,56.913,0.47307242735285415,5.277,0.14446436915016087
Sample,ch1,ch2,ch3,ch4,coinc12
1,7537,136,63,56,3
2,7486,156,92,61,6
3,7671,132,84,52,7
4,7451,147,64,60,10
5,7546,116,85,62,7
6,7368,160,71,61,3
7,7588,133,77,72,5
8,7627,137,99,58,8
9,7449,137,68,59,6
10,7531,146,79,67,4
11,7506,164,87,67,2
12,7589,129,93,60,7
13,7667,119,99,53,2
14,7518,131,76,65,5
15,7569,126,69,50,3
16,7654,140,78,44,12
17,7581,137,92,63,0
18,7459,169,82,56,6
19,7657,154,91,56,3
20,7421,144,87,56,5
21,7519,111,87,46,5
22,7603,138,84,55,4
23,7636,145,73,50,8
24,7500,135,79,67,9
25,7522,133,68,57,6
26,7500,137,80,68,6
27,7686,138,105,51,7
28,7532,136,103,65,6
29,7574,120,80,63,5
30,7487,156,81,68,12
31,7582,144,87,59,9
32,7538,132,83,56,3
33,7543,132,83,63,9
34,7519,125,78,61,6
35,7664,138,90,44,7
36,7530,141,92,66,6
37,7516,136,92,63,9
38,7473,141,92,58,4
39,7591,139,82,69,7
40,7692,133,73,41,5
41,7575,146,95,60,10
42,7492,147,90,51,5
43,7690,138,92,62,9
44,7440,116,98,70,8
45,7479,147,76,53,4
46,7615,121,82,71,3
47,7448,134,99,56,6
48,7483,122,89,65,5
49,7686,131,96,74,6
50,7675,147,91,44,8
51,7560,129,71,64,5
52,7533,134,81,72,5
53,7392,131,77,56,2
54,7525,127,90,69,8
55,7455,137,81,69,9
56,7591,130,72,54,3
57,7525,152,86,67,4
58,7709,143,101,43,1
59,7602,136,100,57,10
60,7528,133,88,63,5
61,7363,129,91,62,9
62,7616,142,83,53,4
63,7717,116,85,52,5
64,7403,139,101,68,1
65,7620,123,93,49,5
66,7641,139,89,48,1
67,7631,162,78,63,7
68,7600,150,91,54,2
69,7500,143,86,59,5
70,7530,128,83,54,5
71,7509,132,86,44,11
72,7657,149,89,64,5
73,7507,141,91,62,4
74,7596,138,83,57,3
75,7522,144,79,59,9
76,7658,135,101,54,3
77,7559,131,74,55,7
78,7521,147,77,52,4
79,7543,169,95,65,2
80,7723,145,83,53,9
81,7636,134,101,56,1
82,7514,130,75,63,6
83,7671,149,93,61,9
84,7681,135,96,45,2
85,7445,143,91,47,4
86,7538,129,91,61,3
87,7615,125,90,56,7
88,7600,135,74,59,5
89,7658,127,89,56,3
90,7432,142,78,64,7
91,7476,142,83,58,5
92,7588,135,112,63,6
93,7632,147,102,58,7
94,7590,126,93,46,4
95,7576,146,91,51,8
96,7602,142,76,51,6
97,7607,137,84,45,8
98,7615,117,88,56,0
99,7517,146,95,56,6
100,7534,146,101,55,6
101,7771,150,101,46,8
102,7549,134,84,61,7
103,7689,135,75,56,4
104,7561,116,88,69,7
105,7530,128,96,60,4
106,7473,131,85,67,3
107,7561,134,92,49,3
108,7634,131,76,66,9
109,7673,151,93,61,3
110,7506,162,96,55,10
111,7617,124,84,52,6
112,7501,157,90,49,8
113,7591,145,89,53,2
114,7618,149,92,57,5
115,7573,140,88,59,1
116,7634,133,80,59,5
117,7522,142,83,65,5
118,7699,146,81,60,2
119,7583,125,75,55,4
120,7555,157,93,65,7
121,7601,135,61,68,1
122,7484,123,75,42,5
123,7502,135,80,41,5
124,7547,150,93,56,5
125,7498,162,69,64,4
126,7504,128,66,53,6
127,7646,138,94,55,7
128,7558,132,91,57,1
129,7686,154,90,63,6
130,7582,133,85,48,6
131,7625,128,100,55,4
132,7785,148,74,40,9
133,7610,145,113,61,7
134,7555,133,91,52,5
135,7526,150,93,44,6
136,7493,155,99,60,5
137,7713,147,96,52,10
138,7625,126,84,65,3
139,7582,135,83,49,4
140,7524,138,73,62,3
141,7603,137,92,58,2
142,7618,132,96,39,4
143,7517,140,90,58,4
144,7571,126,82,62,3
145,7601,155,88,49,6
146,7707,121,103,53,6
147,7513,144,94,55,6
148,7541,132,89,65,8
149,7669,131,83,62,9
150,7530,139,76,51,8
151,7668,147,86,56,3
152,7566,145,87,57,6
153,7561,141,92,75,2
154,7509,125,82,62,4
155,7597,151,85,61,6
156,7717,149,90,55,5
157,7606,134,87,59,8
158,7455,131,79,52,5
159,7606,150,89,54,5
160,7712,127,87,68,5
161,7390,126,98,45,3
162,7633,131,75,58,4
163,7559,143,70,57,5
164,7536,141,74,55,7
165,7408,117,103,59,3
166,7612,130,80,74,5
167,7613,141,91,52,9
168,7653,145,88,54,4
169,7549,124,85,55,9
170,7429,139,92,67,9
171,7725,136,90,54,8
172,7312,140,105,51,8
173,7653,168,89,61,5
174,7619,148,85,54,7
175,7611,135,88,50,6
176,7695,149,83,58,4
177,7605,143,90,52,6
178,7645,149,79,63,8
179,7642,140,84,53,7
180,7432,166,104,54,5
181,7746,122,77,57,6
182,7511,130,92,60,3
183,7605,120,74,45,3
184,7523,120,112,59,4
185,7467,151,103,51,5
186,7558,149,80,60,5
187,7689,148,100,47,3
188,7708,121,103,64,2
189,7659,134,91,64,3
190,7642,140,74,38,7
191,7367,134,89,64,5
192,7467,125,98,60,3
193,7687,118,86,57,7
194,7585,154,78,62,4
195,7695,156,75,73,9
196,7686,144,75,48,3
197,7432,145,93,65,6
198,7430,130,86,62,9
199,7641,110,73,47,9
200,7525,148,99,53,2
201,7596,137,78,56,2
202,7505,127,81,46,6
