Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3999.804,4.059582065008976,4086.029,4.072731242762745,85.2,0.5531527618822651,57.121,0.4541890836686013,12.993,0.23813549192111727
Sample,ch1,ch2,ch3,ch4,coinc12
1,3957,4121,94,60,10
2,4050,4027,92,61,12
3,4061,4179,72,46,18
4,4100,4044,86,53,10
5,4012,4133,91,62,10
6,3954,4204,89,52,12
7,3974,4017,93,50,13
8,3930,4111,74,51,13
9,4095,4089,81,63,13
10,4029,4009,69,62,20
11,3925,4064,72,64,14
12,4067,4194,91,56,9
13,3980,4083,83,59,15
14,3950,4064,92,59,12
15,3968,4076,87,60,7
16,3981,4105,79,55,14
17,3956,4048,86,60,7
18,4044,4019,72,53,11
19,3996,4005,95,58,16
20,3856,4056,87,63,15
21,4093,4100,91,49,12
22,3890,4142,80,55,5
23,4070,4019,79,47,17
24,3965,4125,85,62,19
25,4034,4004,84,63,19
26,3970,4063,77,59,13
27,4021,4110,98,48,7
28,4050,4032,84,66,19
29,3995,4014,82,62,10
30,4069,4201,84,61,14
31,4061,4052,86,51,14
32,3995,3980,69,49,17
33,3897,4033,79,57,8
34,3944,3995,85,50,14
35,4009,4096,83,64,16
36,4093,4008,107,54,16
37,3961,4016,92,55,9
38,3966,4124,87,64,19
39,3920,4079,92,61,11
40,4006,3975,83,73,15
41,4041,4023,92,61,11
42,3943,4024,84,50,8
43,3894,4123,79,72,12
44,4055,3962,83,50,14
45,3999,4088,79,63,17
46,4008,4134,77,62,17
47,4065,4081,82,50,12
48,4115,4102,88,56,9
49,3977,4014,82,68,14
50,4043,4113,106,54,13
51,3906,3927,90,59,10
52,4067,4073,89,48,10
53,4000,4151,79,66,11
54,4032,4071,85,62,18
55,4034,4096,71,69,10
56,3998,4207,82,57,12
57,3943,4075,85,50,8
58,3930,4068,92,54,11
59,3961,4018,68,64,14
60,3971,4109,80,71,13
61,3993,4007,94,74,13
62,4041,4132,95,57,15
63,4022,4064,80,54,15
64,4084,4065,77,61,18
65,3958,4047,80,53,13
66,3850,4007,88,60,10
67,3952,4089,71,56,16
68,4079,4139,93,68,15
69,3947,4093,73,78,22
70,3968,4049,89,68,16
71,3966,4057,85,54,14
72,3998,4088,92,65,20
73,4143,4107,92,54,15
74,4103,4160,91,50,18
75,3981,4033,85,63,14
76,4071,4051,84,62,15
77,4056,4115,95,55,12
78,3958,4106,91,62,8
79,3979,4265,87,65,15
80,4084,4003,82,59,10
81,3975,4014,77,55,9
82,4076,4017,84,49,12
83,4015,3996,91,59,11
84,4050,4042,91,57,17
85,4080,4163,70,49,10
86,4088,4028,90,58,10
87,4071,4102,83,50,10
88,4099,4052,76,53,16
89,3870,4127,81,57,7
90,4073,4190,81,53,13
91,3970,3962,72,49,13
92,4012,3959,92,63,11
93,3917,3971,87,41,14
94,4090,4133,91,62,8
95,3931,4106,79,75,16
96,4113,4011,89,57,8
97,3918,4025,98,55,10
98,3945,4126,76,58,6
99,3936,4033,92,62,20
100,3993,4130,83,58,12
101,4020,4211,93,47,9
102,3968,4064,91,50,13
103,3929,4072,99,56,9
104,4037,4137,73,58,11
105,4062,3996,85,66,17
106,4028,4000,88,65,12
107,3953,4144,86,59,9
108,3977,4175,81,51,16
109,4021,4135,78,59,15
110,3947,3988,85,59,8
111,4083,4176,86,63,10
112,4087,4037,88,58,11
113,3956,4030,97,53,16
114,4064,4085,77,60,10
115,4064,3935,78,57,17
