Avg_ch1,Err_ch1,Avg_ch2,Err_ch2,Avg_ch3,Err_ch3,Avg_ch4,Err_ch4,Avg_coinc12,Err_coinc12
3991.624,3.9777099784515046,3933.72,3.9285590202994247,84.774,0.5706779909628277,57.119,0.4681436900295832,289.731,1.093067863105193
Sample,ch1,ch2,ch3,ch4,coinc12
1,4096,3853,86,57,273
2,4013,3916,72,70,277
3,4047,3988,81,52,266
4,3994,3926,81,61,309
5,4094,3927,87,66,279
6,3983,3966,91,38,316
7,4122,3935,80,47,287
8,4024,3917,94,64,269
9,3998,3955,94,64,292
10,3962,3934,84,46,280
11,3973,3940,80,61,268
12,4008,3875,87,54,268
13,3967,3850,82,58,282
14,3961,4038,87,55,290
15,3927,3919,80,55,280
16,3954,3929,83,67,287
17,4037,3882,86,65,256
18,3982,3911,96,53,297
19,3991,3911,74,59,293
20,3996,3852,76,53,276
21,3933,3935,86,53,277
22,4108,3873,88,71,270
23,3979,3988,84,62,274
24,4021,3941,71,50,266
25,4044,3982,90,54,303
26,4094,3983,86,51,309
27,4017,3893,93,63,307
28,4056,3866,87,45,303
29,3955,3798,91,55,303
30,3948,3892,92,45,307
31,3986,3932,94,74,310
32,3973,3997,84,50,291
33,3968,3944,92,47,284
34,4073,3867,69,55,296
35,3924,3944,64,57,275
36,4068,3959,80,67,290
37,3832,3891,75,57,272
38,3986,3915,85,53,303
39,3944,3850,79,51,286
40,3974,4004,85,64,285
41,3997,3924,96,59,246
42,3931,3898,82,57,275
43,3933,3893,104,64,247
44,4079,3889,78,48,286
45,3987,3861,79,61,285
46,4175,4072,72,55,247
47,4027,3967,85,48,328
48,4007,3985,96,60,299
49,4015,3980,86,57,273
50,3965,3886,89,56,300
51,3936,4015,91,59,283
52,4023,3958,88,57,299
53,3972,3926,87,70,290
54,4039,3901,76,53,314
55,4010,3918,96,69,278
56,3924,3867,82,60,306
57,3951,3977,74,46,321
58,3906,3978,89,57,293
59,4006,3847,78,61,276
60,4001,3842,93,49,292
61,3982,3842,81,65,295
62,4041,3934,76,66,304
63,4059,4007,83,63,279
64,3992,3926,81,62,294
65,3932,3890,88,59,325
66,4044,3957,89,63,289
67,4111,3828,84,62,308
68,3944,3891,88,37,273
69,4020,4007,95,66,297
70,3928,3899,73,68,281
71,4025,3910,76,51,309
72,3948,4023,82,55,290
73,3915,3884,95,60,304
74,4116,3823,79,59,290
75,3907,3992,79,68,306
76,4074,3803,72,58,287
77,3944,3874,81,57,280
78,3924,3880,88,59,279
79,3924,3918,86,61,299
80,4050,3894,90,59,299
81,3925,3914,85,64,302
82,3964,4013,87,71,284
83,4115,3876,87,62,303
84,3970,3975,87,66,291
85,4000,3851,90,46,272
86,3966,3976,90,61,275
87,4037,3894,99,66,288
88,3994,3881,85,58,312
89,4010,3917,111,63,283
90,3954,3874,84,53,310
91,3936,3912,85,65,306
92,3938,3875,87,55,268
93,4108,3910,77,61,299
94,3964,3876,80,64,273
95,3966,3925,73,66,306
96,3981,3859,76,56,273
97,4030,3908,96,60,302
98,3987,4010,70,64,289
99,3914,3904,82,52,291
100,4039,3875,93,60,273
101,3896,3881,91,59,276
102,4094,3872,94,59,291
103,3967,3862,92,57,278
104,3861,3850,83,51,243
105,3989,4014,90,57,300
106,3983,3872,78,57,300
107,4086,3980,89,63,297
108,3956,3925,100,66,273
109,3957,3845,81,48,275
110,3955,3961,67,58,273
111,3804,3854,78,54,271
112,3927,3863,90,65,280
113,3960,3960,94,59,288
114,4016,4024,88,48,293
115,3983,3944,82,67,291
116,3981,3881,87,62,309
117,3896,3940,93,42,301
118,4020,3999,82,69,296
119,4040,3846,77,45,308
120,3963,4011,86,52,320
121,3999,3883,97,63,283
122,4006,3928,78,47,275
123,3970,3947,77,62,284
124,4091,3929,77,70,310
125,4000,4076,84,60,290
126,4015,3900,77,47,296
127,3999,3977,99,60,283
128,4073,3965,86,61,292
129,3904,3829,70,69,288
130,3970,3848,80,46,261
131,3941,3937,82,53,283
132,3943,3915,80,65,317
133,4054,4033,78,58,285
134,4092,3948,92,48,317
135,3926,3924,58,70,300
136,3966,3899,71,72,246
137,4068,3892,81,62,310
138,4134,3990,97,54,301
139,4018,4001,78,56,306
140,3960,3839,88,68,312
141,3994,3960,84,46,281
142,3861,3975,87,52,278
143,4057,3948,88,60,279
144,3973,3974,75,47,264
145,3952,3844,86,61,307
146,4091,3868,77,64,302
147,3983,3966,81,58,306
148,4163,3849,74,50,288
149,3869,3908,104,58,306
150,4030,3930,80,58,282
151,3883,3996,96,62,290
152,3973,3996,72,62,305
153,4114,3830,98,68,317
154,3996,4074,89,45,288
155,3893,3895,68,53,247
156,3970,3885,78,54,287
157,3989,3910,80,59,272
158,3982,3839,82,79,298
159,4118,4015,79,51,270
160,4028,3967,79,60,272
161,3919,3925,80,55,281
162,3948,3957,81,50,273
163,3910,3926,95,52,287
164,3963,3964,99,60,296
165,3944,3955,93,51,292
166,3997,3876,75,55,274
167,3959,3910,82,55,307
168,3971,3954,63,54,309
169,4073,4028,83,44,307
170,3968,3990,100,47,293
171,3879,3957,65,54,305
172,4005,3951,90,52,296
173,3934,3891,85,57,318
174,3988,3955,82,59,265
175,4022,3934,83,57,283
176,3957,3873,88,67,305
177,4080,3959,93,65,311
178,3998,3909,88,49,279
179,3918,3895,101,50,285
180,3939,3941,84,61,277
181,3895,3918,102,62,284
182,4084,4096,84,58,324
183,4100,3941,94,50,270
184,3936,3975,86,57,304
185,4050,3979,92,58,295
186,3948,4054,88,74,300
187,4051,3979,83,53,294
188,4007,3955,81,57,285
189,3947,3995,76,59,294
190,3987,3962,83,58,301
191,3956,3939,84,61,249
192,3924,3797,98,64,264
193,3960,3910,77,59,282
194,3994,4048,70,65,282
195,3931,3956,83,53,298
196,4041,4005,84,55,244
197,3849,3886,103,66,277
198,4010,3879,87,62,282
199,3941,3918,97,48,279
200,3971,3832,87,49,265
201,4000,3899,80,58,294
202,3905,3988,78,61,243
203,3955,3866,79,49,283
204,4009,4073,81,52,293
205,3987,3829,99,71,325
206,4092,4000,82,66,306
207,4102,3793,86,56,287
208,3979,3798,100,62,279
209,4030,3971,76,59,278
210,4032,3945,77,48,294
211,3927,3865,84,65,278
212,3941,3969,86,53,268
213,4056,3898,71,44,282
214,3927,3966,90,68,287
215,4018,3930,78,43,306
216,3998,3953,92,64,290
217,3874,3917,75,66,312
218,3894,4045,101,62,286
219,3930,3933,91,65,304
220,4029,4128,88,68,283
221,3985,3862,82,79,285
222,3990,3957,107,49,283
223,3905,3829,75,48,269
224,3984,4004,71,48,300
225,4001,3994,82,49,333
226,3941,3959,72,70,275
227,3939,3888,92,45,290
228,3937,3820,95,59,269
229,3966,3908,91,46,296
230,3996,3861,97,62,292
231,3855,4011,74,54,276
232,3956,3821,82,63,283
233,4001,3891,81,52,281
234,4089,3985,76,54,283
235,3874,3971,81,56,286
236,3964,3951,80,60,319
237,4068,3880,81,52,296
238,4008,3946,67,45,273
239,3999,3981,85,55,299
